,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_E4_v3,usgovtexas,USD,0.0,0.036393,0.036393,US Gov TX,2023-04-01T00:00:00Z,c228595c-7d57-5df8-9dac-29f6f170e6e8,E4 v3/E4s v3 Spot,DZH318Z0BQ4L,DZH318Z0BQ4L/0221,,Virtual Machines Ev3 Series,E4 v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
1,Standard_E64a_v4,usgovtexas,USD,0.0,0.504,0.504,US Gov TX,2023-03-01T00:00:00Z,c228e49a-05d9-5c0b-8f5d-1a317ef23365,E64a v4/E64as v4 Spot,DZH318Z0CM29,DZH318Z0CM29/01LK,,Virtual Machines Eav4 Series,E64a v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2,Standard_D2d_v4,usgovvirginia,USD,0.0,0.094,0.094,US Gov Virginia,2020-06-01T00:00:00Z,c22b3d3a-d3a7-57e3-abdd-7f367caa2739,D2d v4 Low Priority,DZH318Z0D1L6,DZH318Z0D1L6/001V,,Virtual Machines Ddv4 Series Windows,D2d v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
3,Esv3_Type4,southcentralus,USD,0.0,69001.0,69001.0,US South Central,2021-12-01T00:00:00Z,c22b3dee-8027-562c-bbe4-148b10b6db40,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/0150,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
4,Esv3_Type4,southcentralus,USD,0.0,6.736,6.736,US South Central,2021-12-01T00:00:00Z,c22b3dee-8027-562c-bbe4-148b10b6db40,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/0155,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
5,Esv3_Type4,southcentralus,USD,0.0,34754.0,34754.0,US South Central,2021-12-01T00:00:00Z,c22b3dee-8027-562c-bbe4-148b10b6db40,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/014X,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
6,Standard_B4as_v2,southafricanorth,USD,0.0,0.08,0.08,ZA North,2023-03-01T00:00:00Z,c22d2add-db79-5784-808a-3d2448af72f5,B4as v2 Spot,DZH318Z0K9JH,DZH318Z0K9JH/024S,,Virtual Machines Basv2 Series,B4as v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
7,Standard_M416-104ms_v2,southcentralus,USD,0.0,118.98,118.98,US South Central,2020-11-01T00:00:00Z,c22df618-f3dd-4d30-a8f4-14cc53ada63a,M416-104ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/01XD,,Virtual Machines MSv2 Series,M416-104ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
8,Standard_M416-104ms_v2,southcentralus,USD,0.0,606170.0,606170.0,US South Central,2020-11-01T00:00:00Z,c22df618-f3dd-4d30-a8f4-14cc53ada63a,M416-104ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/01X7,,Virtual Machines MSv2 Series,M416-104ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,False,mismatched_sku_detail
9,Standard_M416-104ms_v2,southcentralus,USD,0.0,877901.0,877901.0,US South Central,2020-11-01T00:00:00Z,c22df618-f3dd-4d30-a8f4-14cc53ada63a,M416-104ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/01X1,,Virtual Machines MSv2 Series,M416-104ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,False,mismatched_sku_detail
