,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
435,Standard_B2ls_v2,brazilsouth,USD,0.0,0.0672,0.0672,BR South,2023-03-01T00:00:00Z,9bee8567-1677-5f35-a7b7-2904459d1f19,B2ls v2,DZH318Z0K9K9,DZH318Z0K9K9/024T,Virtual Machines Bsv2 Series,B2ls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
436,Standard_NC96ads_A100_v4,jioindiawest,USD,0.0,24.985,24.985,IN West Jio,2023-05-01T00:00:00Z,9bef063e-e736-5f9a-9078-8e382b303904,NC96ads_A100_v4,DZH318Z09TH1,DZH318Z09TH1/0079,NCads A100 v4 Series Windows,Standard_NC96ads_A100_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
437,Standard_NC96ads_A100_v4,jioindiawest,USD,0.0,20.569,20.569,IN West Jio,2023-05-01T00:00:00Z,9bef063e-e736-5f9a-9078-8e382b303904,NC96ads_A100_v4,DZH318Z09TH1,DZH318Z09TH1/0079,NCads A100 v4 Series Windows,Standard_NC96ads_A100_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
438,Standard_E96as_v5,germanywestcentral,USD,0.0,1.315,1.315,DE West Central,2021-11-01T00:00:00Z,9bef32de-7795-51b0-b9c5-2f379e618393,E96as v5 Low Priority,DZH318Z093WZ,DZH318Z093WZ/0297,Virtual Machines Easv5 Series,E96as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
439,Standard_D32s_v3,attdetroit1,USD,0.0,1.2288,1.2288,ATT Detroit 1,2023-04-01T00:00:00Z,9bf036b5-cfed-5503-bd25-d0753f37d803,D32s v3 Spot,DZH318Z0BPWD,DZH318Z0BPWD/02ZB,Virtual Machines DSv3 Series Windows,D32s v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
440,Standard_D32s_v3,attdetroit1,USD,0.0,0.6144,0.6144,ATT Detroit 1,2023-04-01T00:00:00Z,9bf036b5-cfed-5503-bd25-d0753f37d803,D32s v3 Spot,DZH318Z0BPWD,DZH318Z0BPWD/02ZB,Virtual Machines DSv3 Series Windows,D32s v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
441,Standard_DS15i_v2,westindia,USD,0.0,0.1895,0.1895,IN West,2023-05-01T00:00:00Z,9bf22a66-2aee-509b-b5fa-66e2c4bd341b,DS15i v2 Spot,DZH318Z0BQ4C,DZH318Z0BQ4C/0413,Virtual Machines DSv2 Series,DS15i v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
442,Standard_E48as_v5,australiacentral2,USD,0.0,0.8208,0.8208,AU Central 2,2023-05-01T00:00:00Z,9bf2fe14-6174-5ddc-a8fd-ef18046dcaf8,E48as v5 Spot,DZH318Z093XK,DZH318Z093XK/03N5,Virtual Machines Easv5 Series Windows,E48as v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
443,Standard_E48as_v5,australiacentral2,USD,0.0,0.3264,0.3264,AU Central 2,2023-05-01T00:00:00Z,9bf2fe14-6174-5ddc-a8fd-ef18046dcaf8,E48as v5 Spot,DZH318Z093XK,DZH318Z093XK/03N5,Virtual Machines Easv5 Series Windows,E48as v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
444,Standard_D2as_v5_Promo,switzerlandwest,USD,0.0,0.0941,0.0941,CH West,2022-07-01T00:00:00Z,9bf3829d-963a-524a-803e-8a8472f80f99,D2as v5 Promo Low Priority,DZH318Z08W2K,DZH318Z08W2K/00V3,Virtual Machines Dasv5 Promo Series Windows,Standard_D2as_v5_Promo Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
