,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_E64as_v5,qatarcentral,USD,0.0,23154.0,23154.0,QA Central,2022-11-01T00:00:00Z,73369c6b-8966-516f-8fc2-59553b802078,E64as v5,DZH318Z093WZ,DZH318Z093WZ/04BR,,Virtual Machines Easv5 Series,E64as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
1,Standard_E64is_v3,westus3,USD,0.0,0.403182,0.403182,US West 3,2023-05-01T00:00:00Z,7337fb51-8912-5b52-9377-de802b50b068,E64is v3 Spot,DZH318Z0BQ4R,DZH318Z0BQ4R/05MC,,Virtual Machines ESv3 Series,E64is v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2,Standard_B8als_v2,australiasoutheast,USD,0.0,0.354,0.354,AU Southeast,2023-03-01T00:00:00Z,73383c74-89d5-5cd6-bff5-a26f1aa70810,B8als v2,DZH318Z0K9JF,DZH318Z0K9JF/00LT,,Virtual Machines Basv2 Series Windows,B8als v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
3,Standard_B8als_v2,australiasoutheast,USD,0.0,0.391,0.391,AU Southeast,2023-03-01T00:00:00Z,73383c74-89d5-5cd6-bff5-a26f1aa70810,B8als v2,DZH318Z0K9JF,DZH318Z0K9JF/00LT,,Virtual Machines Basv2 Series Windows,B8als v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
4,Standard_L32s_v3,germanynorth,USD,0.0,4.326,4.326,DE North,2022-09-01T00:00:00Z,73388053-f45a-595f-9e2c-dacdac7198cc,L32s v3,DZH318Z08NRP,DZH318Z08NRP/00HL,,Virtual Machines Lsv3 Series Windows,Standard_L32s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
5,Standard_L32s_v3,germanynorth,USD,0.0,5.798,5.798,DE North,2022-09-01T00:00:00Z,73388053-f45a-595f-9e2c-dacdac7198cc,L32s v3,DZH318Z08NRP,DZH318Z08NRP/00HL,,Virtual Machines Lsv3 Series Windows,Standard_L32s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
6,Standard_B32s_v2,australiacentral,USD,0.0,0.676,0.676,AU Central,2023-03-01T00:00:00Z,7338a5f9-8a39-5093-98f3-01456db0c844,B32s v2 Spot,DZH318Z0K9K9,DZH318Z0K9K9/00NF,,Virtual Machines Bsv2 Series,B32s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
7,Standard_E64ds_v4,usgovarizona,USD,0.0,1.292509,1.292509,US Gov AZ,2023-04-01T00:00:00Z,73391525-5251-5c9e-bd06-f5d53e9e6109,E64ds v4 Spot,DZH318Z0CSHB,DZH318Z0CSHB/01HX,,Virtual Machines Edsv4 Series Windows,E64ds v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
8,Standard_D2as_v5_Promo,westus3,USD,0.0,0.03584,0.03584,US West 3,2022-07-01T00:00:00Z,733dfa81-9aae-5819-8316-80860a16e0ca,D2as v5 Promo Spot,DZH318Z08W2M,DZH318Z08W2M/007Z,,Virtual Machines Dasv5 Promo Series,Standard_D2as_v5_Promo Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
9,Standard_E8-4as_v5,qatarcentral,USD,0.0,0.56,0.56,QA Central,2022-11-01T00:00:00Z,733e46c3-c593-5cae-9a7f-c7c4b9745367,E8-4as v5,DZH318Z093WZ,DZH318Z093WZ/048L,,Virtual Machines Easv5 Series,E8-4as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
10,Standard_E8-4as_v5,qatarcentral,USD,0.0,5592.0,5592.0,QA Central,2022-11-01T00:00:00Z,733e46c3-c593-5cae-9a7f-c7c4b9745367,E8-4as v5,DZH318Z093WZ,DZH318Z093WZ/04B1,,Virtual Machines Easv5 Series,E8-4as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
11,Standard_E8-4as_v5,qatarcentral,USD,0.0,2894.0,2894.0,QA Central,2022-11-01T00:00:00Z,733e46c3-c593-5cae-9a7f-c7c4b9745367,E8-4as v5,DZH318Z093WZ,DZH318Z093WZ/04B8,,Virtual Machines Easv5 Series,E8-4as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
12,Standard_E48as_v4,westcentralus,USD,0.0,0.3629,0.3629,US West Central,2022-04-01T00:00:00Z,733f0142-6ddf-5ad0-8bbd-7995d2d00154,E48as v4 Spot,DZH318Z0CM2D,DZH318Z0CM2D/02GR,,Virtual Machines Easv4 Series,E48as v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
13,Standard_DC8as_cc_v5,westeurope,USD,0.0,0.3304,0.3304,EU West,2023-05-01T00:00:00Z,733fe2dd-f022-56a1-91a3-3e5341868ff9,DC8ascc v5 Spot,DZH318Z0BDL4,DZH318Z0BDL4/001S,,Virtual Machines DCasccv5 Series Windows,Standard_DC8as_cc_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
14,Standard_DC8as_cc_v5,westeurope,USD,0.0,0.1832,0.1832,EU West,2023-05-01T00:00:00Z,733fe2dd-f022-56a1-91a3-3e5341868ff9,DC8ascc v5 Spot,DZH318Z0BDL4,DZH318Z0BDL4/001S,,Virtual Machines DCasccv5 Series Windows,Standard_DC8as_cc_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
15,Standard_E64d_v4,usgovvirginia,USD,0.0,8.48,8.48,US Gov Virginia,2020-06-01T00:00:00Z,734503ca-1e4c-583a-994f-6b429cbc6f23,E64d v4,DZH318Z0D1LH,DZH318Z0D1LH/001J,,Virtual Machines Edv4 Series Windows,E64d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
16,Standard_E48as_v4,westindia,USD,0.0,0.774,0.774,IN West,2022-12-01T00:00:00Z,7348763a-b89c-50cc-8df4-a5945e8334fd,E48as v4 Low Priority,DZH318Z0CM2D,DZH318Z0CM2D/0410,,Virtual Machines Easv4 Series,E48as v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
17,Standard_E48a_v4,westindia,USD,0.0,0.774,0.774,IN West,2022-11-01T00:00:00Z,7348763a-b89c-50cc-8df4-a5945e8334fd,E48a v4/E48as v4 Low Priority,DZH318Z0CM29,DZH318Z0CM29/01ZG,,Virtual Machines Eav4 Series,E48a v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
