,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_NV6,usgovvirginia,USD,0.0,0.547,0.547,US Gov Virginia,2019-01-22T00:00:00Z,ced197d9-67e9-4df4-ac8f-1c441f46a5ee,NV6 Low Priority,DZH318Z0BPVX,DZH318Z0BPVX/002G,,Virtual Machines NV Series Windows,NV6 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
1,Standard_B16ls_v2,canadaeast,USD,0.0,0.657,0.657,CA East,2023-03-01T00:00:00Z,ced2387a-45ef-50d8-8b6c-d716ed6a5668,B16ls v2,DZH318Z0K9K9,DZH318Z0K9K9/000V,,Virtual Machines Bsv2 Series,B16ls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2,Standard_E20s_v3,attdetroit1,USD,0.0,0.504,0.504,ATT Detroit 1,2023-04-01T00:00:00Z,ced26fa1-6cbf-5bc8-9b2b-5c63ff88a9c2,E20s v3 Spot,DZH318Z0BPVN,DZH318Z0BPVN/046T,,Virtual Machines ESv3 Series Windows,E20s v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
3,Standard_E20s_v3,attdetroit1,USD,0.0,0.872,0.872,ATT Detroit 1,2023-04-01T00:00:00Z,ced26fa1-6cbf-5bc8-9b2b-5c63ff88a9c2,E20s v3 Spot,DZH318Z0BPVN,DZH318Z0BPVN/046T,,Virtual Machines ESv3 Series Windows,E20s v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
4,Standard_D4ads_v5,australiacentral2,USD,0.0,0.104,0.104,AU Central 2,2022-11-01T00:00:00Z,ced5a267-09a5-5b73-9cc5-93553ec9d18c,D4ads v5 Spot,DZH318Z08W2R,DZH318Z08W2R/01JG,,Virtual Machines Dadsv5 Series,Standard_D4ads_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
5,Standard_DS12-1_v2,attnewyork1,USD,0.0,0.0598,0.0598,ATT New York 1,2023-02-01T00:00:00Z,ced5ab38-3a24-5ea6-80f3-ba176f1d235d,DS12 v2 Low Priority,DZH318Z0BQ4C,DZH318Z0BQ4C/07SD,,Virtual Machines DSv2 Series,DS12-1 v2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
6,Standard_E64-32ads_v5,norwaywest,USD,0.0,4.295,4.295,NO West,2022-11-01T00:00:00Z,ced85af4-3619-5195-8f3b-c406e46cf159,E64-32ads v5 Low Priority,DZH318Z093WX,DZH318Z093WX/045P,,Virtual Machines Eadsv5 Series Windows,E64-32ads v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
7,Standard_E64-32ads_v5,norwaywest,USD,0.0,1.559,1.559,NO West,2022-11-01T00:00:00Z,ced85af4-3619-5195-8f3b-c406e46cf159,E64-32ads v5 Low Priority,DZH318Z093WX,DZH318Z093WX/045P,,Virtual Machines Eadsv5 Series Windows,E64-32ads v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
8,Standard_F8s_v2,usgovvirginia,USD,0.0,0.041293,0.041293,US Gov Virginia,2023-04-01T00:00:00Z,cedc6da6-3d24-5074-a558-11de3d69ec15,F8s v2 Spot,DZH318Z0BQ4X,DZH318Z0BQ4X/01M9,,Virtual Machines FSv2 Series,F8s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
9,Standard_E112ias_v5,usgovvirginia,USD,0.0,1.098121,1.098121,US Gov Virginia,2023-04-01T00:00:00Z,cedd61cc-2999-56f3-8bed-4c5d9dcc43f8,E112ias v5 Spot,DZH318Z093WZ,DZH318Z093WZ/066C,,Virtual Machines Easv5 Series,E112ias v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
10,Esv3_Type4,southafricanorth,USD,0.0,7.801,7.801,ZA North,2021-12-01T00:00:00Z,cedea0f7-73dc-5a6d-92ea-cbcc9bd42dff,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/0169,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
11,Esv3_Type4,southafricanorth,USD,0.0,79914.0,79914.0,ZA North,2021-12-01T00:00:00Z,cedea0f7-73dc-5a6d-92ea-cbcc9bd42dff,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/0166,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
12,Esv3_Type4,southafricanorth,USD,0.0,40251.0,40251.0,ZA North,2021-12-01T00:00:00Z,cedea0f7-73dc-5a6d-92ea-cbcc9bd42dff,Esv3 Type4,DZH318Z0C620,DZH318Z0C620/0167,,ESv3 Series Dedicated Host,Esv3 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
