,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_L64as_v3,southindia,USD,0.0,39462.0,39462.0,IN South,2022-11-01T00:00:00Z,e6df7ab1-c28a-51fc-ba6b-0c7b53a32724,L64as v3,DZH318Z08NR9,DZH318Z08NR9/0289,Lasv3 Series Linux,Standard_L64as_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
1,Standard_L64as_v3,southindia,USD,0.0,77691.0,77691.0,IN South,2022-11-01T00:00:00Z,e6df7ab1-c28a-51fc-ba6b-0c7b53a32724,L64as v3,DZH318Z08NR9,DZH318Z08NR9/0286,Lasv3 Series Linux,Standard_L64as_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2,Standard_L32as_v3,qatarcentral,USD,0.0,0.605,0.605,QA Central,2022-11-01T00:00:00Z,e6e22405-acb9-5339-897c-7d03d3ae07e2,L32as v3 Low Priority,DZH318Z08NR9,DZH318Z08NR9/01FG,Lasv3 Series Linux,Standard_L32as_v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
3,Standard_D64as_v5,usgovvirginia,USD,0.0,0.698,0.698,US Gov Virginia,2022-08-01T00:00:00Z,e6e423c6-e447-50cd-92e5-a32f35c2dc69,D64as v5 Low Priority,DZH318Z08W0T,DZH318Z08W0T/01MJ,Virtual Machines Dasv5 Series,Standard_D64as_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
4,Standard_GS2,eastasia,USD,0.0,0.648,0.648,AP East,2019-01-01T00:00:00Z,e6e59a6c-a2c2-40b4-b3b5-1e51e6c522d5,GS2 Low Priority,DZH318Z0BQPT,DZH318Z0BQPT/005C,Virtual Machines GS Series Windows,GS2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
5,Standard_G2,eastasia,USD,0.0,0.648,0.648,AP East,2019-01-01T00:00:00Z,e6e59a6c-a2c2-40b4-b3b5-1e51e6c522d5,G2/GS2 Low Priority,DZH318Z0BQNL,DZH318Z0BQNL/004K,Virtual Machines G Series Windows,G2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
6,Standard_GS2,eastasia,USD,0.0,0.648,0.648,AP East,2019-01-01T00:00:00Z,e6e59a6c-a2c2-40b4-b3b5-1e51e6c522d5,GS2 Low Priority,DZH318Z0BQPT,DZH318Z0BQPT/005C,Virtual Machines GS Series Windows,GS2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,False,mismatched_sku_detail
7,Standard_G2,eastasia,USD,0.0,0.648,0.648,AP East,2019-01-01T00:00:00Z,e6e59a6c-a2c2-40b4-b3b5-1e51e6c522d5,G2/GS2 Low Priority,DZH318Z0BQNL,DZH318Z0BQNL/004K,Virtual Machines G Series Windows,G2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
8,Standard_D32ads_v5,qatarcentral,USD,0.0,0.406,0.406,QA Central,2022-11-01T00:00:00Z,e6e884c0-b38d-52d9-98be-735d339b8c9a,D32ads v5 Low Priority,DZH318Z08W2R,DZH318Z08W2R/0225,Virtual Machines Dadsv5 Series,Standard_D32ads_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
9,Standard_L80s_v3,uaenorth,USD,0.0,1.688,1.688,AE North,2022-09-01T00:00:00Z,e6e93c90-32d3-539d-82aa-1b227ed67f32,L80s v3 Low Priority,DZH318Z08NR7,DZH318Z08NR7/0199,Virtual Machines Lsv3 Series,Standard_L80s_v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
