,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
2527,Standard_D32as_v5,australiacentral2,USD,0.0,17256.0,17256.0,AU Central 2,2022-11-01T00:00:00Z,e576832d-b423-5083-a767-6905cd84de52,D32as v5,DZH318Z08W0T,DZH318Z08W0T/028Z,,Virtual Machines Dasv5 Series,Standard_D32as_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2528,Standard_E2as_v5,usgovtexas,USD,0.0,0.141,0.141,US Gov TX,2022-11-01T00:00:00Z,e5779c36-9744-5800-9b8e-66ab093e49f7,E2as v5,DZH318Z093WZ,DZH318Z093WZ/06BK,,Virtual Machines Easv5 Series,E2as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2529,Standard_E2as_v5,usgovtexas,USD,0.0,1411.0,1411.0,US Gov TX,2022-11-01T00:00:00Z,e5779c36-9744-5800-9b8e-66ab093e49f7,E2as v5,DZH318Z093WZ,DZH318Z093WZ/06P6,,Virtual Machines Easv5 Series,E2as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2530,Standard_E2as_v5,usgovtexas,USD,0.0,730.0,730.0,US Gov TX,2022-11-01T00:00:00Z,e5779c36-9744-5800-9b8e-66ab093e49f7,E2as v5,DZH318Z093WZ,DZH318Z093WZ/06P3,,Virtual Machines Easv5 Series,E2as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2531,Standard_E16-4s_v3,usgovarizona,USD,0.0,0.156655,0.156655,US Gov AZ,2023-04-01T00:00:00Z,e57d0346-6bc8-5e0d-bfe8-44912fed0fb6,E16-4s v3 Spot,DZH318Z0BQ4R,DZH318Z0BQ4R/0469,,Virtual Machines ESv3 Series,E16-4s v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2532,Standard_D32s_v3,attdetroit1,USD,0.0,1.229,1.229,ATT Detroit 1,2023-04-01T00:00:00Z,e5819557-0f27-5034-80ff-8b85944e0c1a,D32s v3 Low Priority,DZH318Z0BPWD,DZH318Z0BPWD/02Z9,,Virtual Machines DSv3 Series Windows,D32s v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2533,Standard_D32s_v3,attdetroit1,USD,0.0,0.307,0.307,ATT Detroit 1,2023-04-01T00:00:00Z,e5819557-0f27-5034-80ff-8b85944e0c1a,D32s v3 Low Priority,DZH318Z0BPWD,DZH318Z0BPWD/02Z9,,Virtual Machines DSv3 Series Windows,D32s v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2534,Standard_E64-32as_v5,westcentralus,USD,0.0,2.913,2.913,US West Central,2021-11-01T00:00:00Z,e58267c9-f8c1-560a-8273-b496712f7356,E64-32as v5 Low Priority,DZH318Z093XK,DZH318Z093XK/0007,,Virtual Machines Easv5 Series Windows,E64-32as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2535,Standard_E64-32as_v5,westcentralus,USD,0.0,0.868,0.868,US West Central,2021-11-01T00:00:00Z,e58267c9-f8c1-560a-8273-b496712f7356,E64-32as v5 Low Priority,DZH318Z093XK,DZH318Z093XK/0007,,Virtual Machines Easv5 Series Windows,E64-32as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2536,Standard_B16ps_v2,southeastasia,USD,0.0,0.2856,0.2856,AP Southeast,2023-03-01T00:00:00Z,e584d3cb-b3d1-518b-8e2f-d26fcab89eac,B16ps v2 Spot,DZH318Z0K9JL,DZH318Z0K9JL/00V9,,Virtual Machines Bpsv2 Series Windows,B16ps v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2537,Standard_B16ps_v2,southeastasia,USD,0.0,0.256,0.256,AP Southeast,2023-03-01T00:00:00Z,e584d3cb-b3d1-518b-8e2f-d26fcab89eac,B16ps v2 Spot,DZH318Z0K9JL,DZH318Z0K9JL/00V9,,Virtual Machines Bpsv2 Series Windows,B16ps v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2538,Standard_D64_v4,usgovtexas,USD,0.0,6.784,6.784,US Gov TX,2020-08-01T00:00:00Z,e5882234-f6b5-5fb9-8ca9-204ff4e33d80,D64 v4,DZH318Z0D1MV,DZH318Z0D1MV/00B5,,Virtual Machines Dv4 Series Windows,D64 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2539,Standard_D64_v5,norwaywest,USD,0.0,0.5262,0.5262,NO West,2022-07-01T00:00:00Z,e58c9e5f-10c7-5aa9-85b7-146d86fd4de1,D64 v5 Spot,DZH318Z08M9X,DZH318Z08M9X/00XF,,Virtual Machines Dv5 Series,Standard_D64_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
