,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_E16as_v4,westindia,USD,0.0,0.258,0.258,IN West,2022-12-01T00:00:00Z,a703414f-a628-5576-83e8-a945b6831bb8,E16as v4 Low Priority,DZH318Z0CM2D,DZH318Z0CM2D/0459,Virtual Machines Easv4 Series,E16as v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
1,Standard_E16a_v4,westindia,USD,0.0,0.258,0.258,IN West,2022-11-01T00:00:00Z,a703414f-a628-5576-83e8-a945b6831bb8,E16a v4/E16as v4 Low Priority,DZH318Z0CM29,DZH318Z0CM29/020Q,Virtual Machines Eav4 Series,E16a v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2,Standard_B2pls_v2,centralus,USD,0.0,0.0492,0.0492,US Central,2023-03-01T00:00:00Z,a704d86b-a0e9-5218-b774-6621f76e9968,B2pls v2,DZH318Z0K9JL,DZH318Z0K9JL/00WM,Virtual Machines Bpsv2 Series Windows,B2pls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
3,Standard_B2pls_v2,centralus,USD,0.0,0.04,0.04,US Central,2023-03-01T00:00:00Z,a704d86b-a0e9-5218-b774-6621f76e9968,B2pls v2,DZH318Z0K9JL,DZH318Z0K9JL/00WM,Virtual Machines Bpsv2 Series Windows,B2pls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
4,Standard_D64-32s_v3,westeurope,USD,0.0,3.84,3.84,EU West,2017-06-17T00:00:00Z,a707fcf5-ab16-4489-8226-f980e88737e3,D64-32s v3,DZH318Z0BQ50,DZH318Z0BQ50/02P2,Virtual Machines DSv3 Series,D64-32s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
5,Standard_D64-16s_v3,westeurope,USD,0.0,3.84,3.84,EU West,2017-06-17T00:00:00Z,a707fcf5-ab16-4489-8226-f980e88737e3,D64-16s v3,DZH318Z0BQ50,DZH318Z0BQ50/02PL,Virtual Machines DSv3 Series,D64-16s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
6,Standard_E2s_v5,norwaywest,USD,0.0,0.217,0.217,NO West,2022-05-01T00:00:00Z,a708c4e9-c223-5061-8b44-22c4b06cbfaf,E2s v5,DZH318Z096T1,DZH318Z096T1/04VW,Virtual Machines Esv5 Series Windows,E2s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
7,Standard_E2s_v5,norwaywest,USD,0.0,0.309,0.309,NO West,2022-05-01T00:00:00Z,a708c4e9-c223-5061-8b44-22c4b06cbfaf,E2s v5,DZH318Z096T1,DZH318Z096T1/04VW,Virtual Machines Esv5 Series Windows,E2s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
8,Standard_D8as_v5_Promo,westus3,USD,0.0,0.0717,0.0717,US West 3,2022-07-01T00:00:00Z,a70cb571-a7b7-549a-a493-b3bc32c4eef2,D8as v5 Promo Low Priority,DZH318Z08W2K,DZH318Z08W2K/007R,Virtual Machines Dasv5 Promo Series Windows,Standard_D8as_v5_Promo Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
9,Standard_D8as_v5_Promo,westus3,USD,0.0,0.291,0.291,US West 3,2022-07-01T00:00:00Z,a70cb571-a7b7-549a-a493-b3bc32c4eef2,D8as v5 Promo Low Priority,DZH318Z08W2K,DZH318Z08W2K/007R,Virtual Machines Dasv5 Promo Series Windows,Standard_D8as_v5_Promo Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
